Cuenca o Litoral,Grupo de especie,Formato,Especie,Nombre más común de la especie,Forma de presentación
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brachyplatystoma filamentosum,Valentón,Eviscerado fresco
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Entero
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Eviscerado fresco
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Rodaja
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Entero
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Eviscerado fresco
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Seco salado
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Eviscerado fresco
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Entero
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Eviscerado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Eviscerado fresco
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Trozos
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Entero fresco
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado congelado
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Eviscerado fresco
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Seco salado
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Entero
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Entero enhielado
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Entero fresco
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado congelado
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Eviscerado fresco
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Seco salado
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Entero
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Entero fresco
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Eviscerado
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Eviscerado fresco
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Entero
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Entero fresco
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Eviscerado congelado
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Eviscerado fresco
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Seco salado
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Entero
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Entero enhielado
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Entero fresco
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Eviscerado
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Eviscerado congelado
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Eviscerado enhielado
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Eviscerado fresco
Amazonía,Peces,PezOseo,Brycon sp. 1,Singo,Eviscerado fresco
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Entero
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Entero fresco
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado congelado
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado enhielado
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Eviscerado fresco
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Entero fresco
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Eviscerado congelado
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Eviscerado enhielado
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Eviscerado fresco
Amazonía,Peces,PezOseo,Chalceus erythrurus,Ararí de punto,Entero fresco
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Ahumado
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Entero fresco
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Eviscerado
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Eviscerado congelado
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Eviscerado enhielado
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Eviscerado fresco
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Rodaja
Amazonía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Entero fresco
Amazonía,Peces,PezOseo,Cichla temensis,Tucunaré,Ahumado
Amazonía,Peces,PezOseo,Cichla temensis,Tucunaré,Entero fresco
Amazonía,Peces,PezOseo,Cichla temensis,Tucunaré,Rodaja
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Entero enhielado
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Entero fresco
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado congelado
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado enhielado
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Eviscerado fresco
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Seco salado
Amazonía,Peces,PezOseo,Crenicichla lenticulata,Botello bocon,Entero fresco
Amazonía,Peces,PezOseo,Crenicichla lenticulata,Botello bocon,Eviscerado congelado
Amazonía,Peces,PezOseo,Crenicichla lenticulata,Botello bocon,Eviscerado enhielado
Amazonía,Peces,PezOseo,Crenicichla lugubris,Botello,Eviscerado enhielado
Amazonía,Peces,PezOseo,Curimata aspera,Curimba,Entero
Amazonía,Peces,PezOseo,Cynodon gibbus,Payarin,Eviscerado fresco
Amazonía,Peces,PezOseo,Cynopotamus amazonum,Cachana,Entero
Amazonía,Peces,PezOseo,Cynopotamus amazonum,Cachana,Entero fresco
Amazonía,Peces,PezOseo,Doras phlyzakion,Cuyucuyu,Entero fresco
Amazonía,Peces,PezOseo,Geophagus abalios,Juan viejo,Entero fresco
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Entero
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Entero fresco
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado congelado
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Eviscerado fresco
Amazonía,Peces,PezOseo,Heros severus,Severum,Entero fresco
Amazonía,Peces,PezOseo,Hoplarchus psittacus,Mojarra lora,Entero fresco
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Entero fresco
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Eviscerado fresco
Amazonía,Peces,PezOseo,Hoplias curupira,Guabina común,Entero fresco
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Ahumado
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Entero fresco
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado congelado
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Eviscerado fresco
Amazonía,Peces,PezOseo,Hoplosternum littorale,Curito,Entero fresco
Amazonía,Peces,PezOseo,Hoplosternum littorale,Curito,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Entero fresco
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado congelado
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Eviscerado fresco
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Entero fresco
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Eviscerado congelado
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Eviscerado fresco
Amazonía,Peces,PezOseo,Hydrolycus wallacei,Payala,Ahumado
Amazonía,Peces,PezOseo,Hydrolycus wallacei,Payala,Descabezado
Amazonía,Peces,PezOseo,Hydrolycus wallacei,Payala,Entero fresco
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Entero fresco
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado congelado
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hypophthalmus fimbriatus,Mapara,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Entero fresco
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Eviscerado congelado
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Eviscerado fresco
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Entero
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Entero fresco
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Eviscerado
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Eviscerado congelado
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Eviscerado fresco
Amazonía,Peces,PezOseo,Hypostomus oculeus,Domesalla,Eviscerado congelado
Amazonía,Peces,PezOseo,Hypostomus oculeus,Domesalla,Eviscerado enhielado
Amazonía,Peces,PezOseo,Hypostomus oculeus,Domesalla,Eviscerado fresco
Amazonía,Peces,PezOseo,Hypostomus spp.,Hypostomo,Entero fresco
Amazonía,Peces,PezOseo,Laemolyta taeniata,Lisa común,Entero fresco
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Entero
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Entero fresco
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado congelado
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado enhielado
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Eviscerado fresco
Amazonía,Peces,PezOseo,Leiarius sp. 1,Barbudo negro,Eviscerado enhielado
Amazonía,Peces,PezOseo,Leiarius sp. 1,Barbudo negro,Eviscerado fresco
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Ahumado
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Entero fresco
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Eviscerado
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Eviscerado enhielado
Amazonía,Peces,PezOseo,Leporinus brunneus,Garacu,Entero fresco
Amazonía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Entero fresco
Amazonía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Eviscerado enhielado
Amazonía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Eviscerado fresco
Amazonía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Entero
Amazonía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Entero fresco
Amazonía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Eviscerado
Amazonía,Peces,PezOseo,Leporinus sp. 2,Cheo chotillo,Eviscerado fresco
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Entero
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Entero fresco
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Eviscerado congelado
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Eviscerado fresco
Amazonía,Peces,PezOseo,Leptodoras acipenserinus,Carriche,Eviscerado fresco
Amazonía,Peces,PezOseo,Lithodoras dorsalis,Bacu piedra,Entero fresco
Amazonía,Peces,PezOseo,Lithodoras dorsalis,Bacu piedra,Eviscerado enhielado
Amazonía,Peces,PezOseo,Megaleporinus trifasciatus,Cheo,Entero fresco
Amazonía,Peces,PezOseo,Megaleporinus trifasciatus,Cheo,Eviscerado fresco
Amazonía,Peces,PezOseo,Megalodoras uranoscopus,Bacú piedra,Entero fresco
Amazonía,Peces,PezOseo,Megalodoras uranoscopus,Bacú piedra,Eviscerado enhielado
Amazonía,Peces,PezOseo,Megalodoras uranoscopus,Bacú piedra,Eviscerado fresco
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Entero
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Entero fresco
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Eviscerado congelado
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Eviscerado fresco
Amazonía,Peces,PezOseo,Metynnis lippincottianus,Palometa,Entero fresco
Amazonía,Peces,PezOseo,Myloplus asterias,Garopa,Entero fresco
Amazonía,Peces,PezOseo,Myloplus asterias,Garopa,Eviscerado
Amazonía,Peces,PezOseo,Myloplus asterias,Garopa,Eviscerado enhielado
Amazonía,Peces,PezOseo,Myloplus rubripinnis,Gancho rojo,Entero
Amazonía,Peces,PezOseo,Myloplus rubripinnis,Gancho rojo,Entero fresco
Amazonía,Peces,PezOseo,Myloplus schomburgkii,Gancho azul,Entero
Amazonía,Peces,PezOseo,Myloplus schomburgkii,Gancho azul,Eviscerado
Amazonía,Peces,PezOseo,Myloplus schomburgkii,Gancho azul,Eviscerado enhielado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Ahumado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Entero
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Entero congelado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Entero enhielado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Entero fresco
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Eviscerado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Eviscerado congelado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Eviscerado enhielado
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Eviscerado fresco
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Seco salado
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Entero
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Entero fresco
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Eviscerado
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Eviscerado congelado
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Eviscerado enhielado
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Eviscerado fresco
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Entero fresco
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Eviscerado congelado
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Eviscerado enhielado
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Eviscerado fresco
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Entero
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Entero fresco
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Eviscerado enhielado
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Eviscerado fresco
Amazonía,Peces,PezOseo,Panaque schaeferi,Cucha,Entero
Amazonía,Peces,PezOseo,Panaque schaeferi,Cucha,Entero fresco
Amazonía,Peces,PezOseo,Panaque schaeferi,Cucha,Eviscerado fresco
Amazonía,Peces,PezOseo,Panaque titan,Real verde Real royal,Entero fresco
Amazonía,Peces,PezOseo,Panaque titan,Real verde Real royal,Eviscerado fresco
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Entero fresco
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Eviscerado congelado
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Eviscerado fresco
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Entero fresco
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Eviscerado congelado
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Eviscerado enhielado
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Entero fresco
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Eviscerado
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Eviscerado congelado
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Eviscerado enhielado
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Eviscerado fresco
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Seco salado
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Entero
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Entero fresco
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Eviscerado
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Eviscerado congelado
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Eviscerado enhielado
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Eviscerado fresco
Amazonía,Peces,PezOseo,Pimelodina flavipinnis,Mollejón,Entero fresco
Amazonía,Peces,PezOseo,Pimelodina flavipinnis,Mollejón,Eviscerado congelado
Amazonía,Peces,PezOseo,Pimelodina flavipinnis,Mollejón,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pimelodus albofasciatus,Cuatro líneas,Eviscerado fresco
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Entero
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Entero fresco
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Eviscerado
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Eviscerado congelado
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Eviscerado fresco
Amazonía,Peces,PezOseo,Pimelodus ornatus,Guacamayo,Entero
Amazonía,Peces,PezOseo,Pimelodus ornatus,Guacamayo,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pimelodus ornatus,Guacamayo,Eviscerado fresco
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Entero
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Entero fresco
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Eviscerado
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Eviscerado congelado
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Eviscerado enhielado
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Eviscerado fresco
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Seco salado
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Entero
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Entero fresco
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Eviscerado
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Eviscerado congelado
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Eviscerado enhielado
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Eviscerado fresco
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Entero fresco
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Eviscerado
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Eviscerado congelado
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Eviscerado enhielado
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Eviscerado fresco
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Entero fresco
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Eviscerado
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Eviscerado congelado
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Eviscerado enhielado
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Eviscerado fresco
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Entero
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Entero fresco
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Eviscerado
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Eviscerado congelado
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Eviscerado enhielado
