Cuenca o Litoral,Grupo de especie,Formato,Especie,Nombre más común de la especie,Categoría comercial
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Pequeño
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma juruense,Jugador listrado,Varios tamaños
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Mediano
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Pequeño
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma platynemum,Baboso,Varios tamaños
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Mediano
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Pequeño
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma rousseauxii,Doradoplateado,Varios tamaños
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Mediano
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Pequeño
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma tigrinum,Zebra bocón pintado,Varios tamaños
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Grande
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Mediano
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Pequeño
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Revuelto
Amazonía,Peces,PezOseo,Brachyplatystoma vaillantii,Pirabutón,Varios tamaños
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Grande
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Mediano
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Pequeño
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Revuelto
Amazonía,Peces,PezOseo,Brycon amazonicus,Sábalo,Varios tamaños
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Grande
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Mediano
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Pequeño
Amazonía,Peces,PezOseo,Brycon falcatus,Cana,Revuelto
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Extragrande
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Grande
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Mediano
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Pequeño
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Pescado especial
Amazonía,Peces,PezOseo,Brycon hilarii,Sábalo,Revuelto
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Grande
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Mediano
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Pequeño
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Revuelto
Amazonía,Peces,PezOseo,Brycon melanopterus,Sabaleta,Varios tamaños
Amazonía,Peces,PezOseo,Brycon sp. 1,Singo,Revuelto
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Grande
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Mediano
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Pequeño
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Revuelto
Amazonía,Peces,PezOseo,Calophysus macropterus,Simi mota juvenil,Varios tamaños
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Grande
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Mediano
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Revuelto
Amazonía,Peces,PezOseo,Chaetobranchus semifasciatus,Mojarra,Varios tamaños
Amazonía,Peces,PezOseo,Chalceus erythrurus,Ararí de punto,Mediano
Amazonía,Peces,PezOseo,Chalceus erythrurus,Ararí de punto,Revuelto
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Grande
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Mediano
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Pequeño
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Revuelto
Amazonía,Peces,PezOseo,Cichla monoculus,Tucunaré,Varios tamaños
Amazonía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Grande
Amazonía,Peces,PezOseo,Cichla orinocensis,Tucunaré,Pequeño
Amazonía,Peces,PezOseo,Cichla temensis,Tucunaré,Mediano
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Grande
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Mediano
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Pequeño
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Revuelto
Amazonía,Peces,PezOseo,Colossoma macropomum,Cachama negra,Varios tamaños
Amazonía,Peces,PezOseo,Crenicichla lenticulata,Botello bocon,Mediano
Amazonía,Peces,PezOseo,Crenicichla lenticulata,Botello bocon,Pequeño
Amazonía,Peces,PezOseo,Crenicichla lenticulata,Botello bocon,Revuelto
Amazonía,Peces,PezOseo,Crenicichla lugubris,Botello,Revuelto
Amazonía,Peces,PezOseo,Curimata aspera,Curimba,Pequeño
Amazonía,Peces,PezOseo,Curimata aspera,Curimba,Revuelto
Amazonía,Peces,PezOseo,Cynodon gibbus,Payarin,Revuelto
Amazonía,Peces,PezOseo,Cynopotamus amazonum,Cachana,Grande
Amazonía,Peces,PezOseo,Cynopotamus amazonum,Cachana,Pequeño
Amazonía,Peces,PezOseo,Doras phlyzakion,Cuyucuyu,Mediano
Amazonía,Peces,PezOseo,Doras phlyzakion,Cuyucuyu,Revuelto
Amazonía,Peces,PezOseo,Geophagus abalios,Juan viejo,Mediano
Amazonía,Peces,PezOseo,Geophagus abalios,Juan viejo,Revuelto
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Grande
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Mediano
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Pequeño
Amazonía,Peces,PezOseo,Hemisorubim platyrhynchos,Bagre dormilón,Revuelto
Amazonía,Peces,PezOseo,Heros severus,Severum,Revuelto
Amazonía,Peces,PezOseo,Heros severus,Severum,Varios tamaños
Amazonía,Peces,PezOseo,Hoplarchus psittacus,Mojarra lora,Mediano
Amazonía,Peces,PezOseo,Hoplarchus psittacus,Mojarra lora,Revuelto
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Grande
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Mediano
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Pequeño
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Revuelto
Amazonía,Peces,PezOseo,Hoplerythrinus unitaeniatus,Pejedulce shuyo,Varios tamaños
Amazonía,Peces,PezOseo,Hoplias curupira,Guabina común,Revuelto
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Grande
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Mediano
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Pequeño
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Revuelto
Amazonía,Peces,PezOseo,Hoplias malabaricus,Moncholo,Varios tamaños
Amazonía,Peces,PezOseo,Hoplosternum littorale,Curito,Mediano
Amazonía,Peces,PezOseo,Hoplosternum littorale,Curito,Pequeño
Amazonía,Peces,PezOseo,Hoplosternum littorale,Curito,Revuelto
Amazonía,Peces,PezOseo,Hoplosternum littorale,Curito,Varios tamaños
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Grande
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Mediano
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Pequeño
Amazonía,Peces,PezOseo,Hydrolycus armatus,Payara,Revuelto
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Grande
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Mediano
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Pequeño
Amazonía,Peces,PezOseo,Hydrolycus scomberoides,Perro payara,Revuelto
Amazonía,Peces,PezOseo,Hydrolycus wallacei,Payala,Mediano
Amazonía,Peces,PezOseo,Hydrolycus wallacei,Payala,Revuelto
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Grande
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Mediano
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Revuelto
Amazonía,Peces,PezOseo,Hypophthalmus edentatus,Mapará cabeza grande,Varios tamaños
Amazonía,Peces,PezOseo,Hypophthalmus fimbriatus,Mapara,Revuelto
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Grande
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Mediano
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Pequeño
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Revuelto
Amazonía,Peces,PezOseo,Hypophthalmus marginatus,Mapará,Varios tamaños
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Grande
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Mediano
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Pequeño
Amazonía,Peces,PezOseo,Hypostomus niceforoi,Hypostomo de piedra,Revuelto
Amazonía,Peces,PezOseo,Hypostomus oculeus,Domesalla,Pequeño
Amazonía,Peces,PezOseo,Hypostomus oculeus,Domesalla,Revuelto
Amazonía,Peces,PezOseo,Hypostomus spp.,Hypostomo,Mediano
Amazonía,Peces,PezOseo,Hypostomus spp.,Hypostomo,Revuelto
Amazonía,Peces,PezOseo,Laemolyta taeniata,Lisa común,Mediano
Amazonía,Peces,PezOseo,Laemolyta taeniata,Lisa común,Revuelto
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Grande
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Mediano
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Pequeño
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Revuelto
Amazonía,Peces,PezOseo,Leiarius marmoratus,Barbudo yaque,Varios tamaños
Amazonía,Peces,PezOseo,Leiarius sp. 1,Barbudo negro,Mediano
Amazonía,Peces,PezOseo,Leiarius sp. 1,Barbudo negro,Revuelto
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Grande
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Mediano
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Pequeño
Amazonía,Peces,PezOseo,Leporinus agassizii,Omima,Revuelto
Amazonía,Peces,PezOseo,Leporinus brunneus,Garacu,Mediano
Amazonía,Peces,PezOseo,Leporinus brunneus,Garacu,Revuelto
Amazonía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Mediano
Amazonía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Revuelto
Amazonía,Peces,PezOseo,Leporinus fasciatus,Leporino rayado,Varios tamaños
Amazonía,Peces,PezOseo,Leporinus friderici,Omima gavilán,Pequeño
Amazonía,Peces,PezOseo,Leporinus sp. 2,Cheo chotillo,Revuelto
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Grande
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Mediano
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Pequeño
Amazonía,Peces,PezOseo,Leporinus subniger,Cheo,Revuelto
Amazonía,Peces,PezOseo,Leptodoras acipenserinus,Carriche,Revuelto
Amazonía,Peces,PezOseo,Lithodoras dorsalis,Bacu piedra,Grande
Amazonía,Peces,PezOseo,Lithodoras dorsalis,Bacu piedra,Mediano
Amazonía,Peces,PezOseo,Lithodoras dorsalis,Bacu piedra,Revuelto
Amazonía,Peces,PezOseo,Lithodoras dorsalis,Bacu piedra,Varios tamaños
Amazonía,Peces,PezOseo,Megaleporinus trifasciatus,Cheo,Grande
Amazonía,Peces,PezOseo,Megaleporinus trifasciatus,Cheo,Mediano
Amazonía,Peces,PezOseo,Megaleporinus trifasciatus,Cheo,Revuelto
Amazonía,Peces,PezOseo,Megaleporinus trifasciatus,Cheo,Varios tamaños
Amazonía,Peces,PezOseo,Megalodoras uranoscopus,Bacú piedra,Grande
Amazonía,Peces,PezOseo,Megalodoras uranoscopus,Bacú piedra,Mediano
Amazonía,Peces,PezOseo,Megalodoras uranoscopus,Bacú piedra,Revuelto
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Mediano
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Pequeño
Amazonía,Peces,PezOseo,Megalonema sp. 1,Palomo,Revuelto
Amazonía,Peces,PezOseo,Metynnis lippincottianus,Palometa,Grande
Amazonía,Peces,PezOseo,Myloplus asterias,Garopa,Mediano
Amazonía,Peces,PezOseo,Myloplus asterias,Garopa,Pequeño
Amazonía,Peces,PezOseo,Myloplus asterias,Garopa,Revuelto
Amazonía,Peces,PezOseo,Myloplus rubripinnis,Gancho rojo,Pequeño
Amazonía,Peces,PezOseo,Myloplus rubripinnis,Gancho rojo,Revuelto
Amazonía,Peces,PezOseo,Myloplus rubripinnis,Gancho rojo,Varios tamaños
Amazonía,Peces,PezOseo,Myloplus schomburgkii,Gancho azul,Pequeño
Amazonía,Peces,PezOseo,Myloplus schomburgkii,Gancho azul,Revuelto
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Grande
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Mediano
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Pequeño
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Revuelto
Amazonía,Peces,PezOseo,Mylossoma albiscopum,Palometa,Varios tamaños
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Pequeño
Amazonía,Peces,PezOseo,Mylossoma aureum,Palometa,Revuelto
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Grande
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Mediano
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Pequeño
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Revuelto
Amazonía,Peces,PezOseo,Osteoglossum bicirrhosum,Arawana plateada,Varios tamaños
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Grande
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Mediano
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Pequeño
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Revuelto
Amazonía,Peces,PezOseo,Oxydoras niger,Sierra copora,Varios tamaños
Amazonía,Peces,PezOseo,Panaque schaeferi,Cucha,Grande
Amazonía,Peces,PezOseo,Panaque schaeferi,Cucha,Revuelto
Amazonía,Peces,PezOseo,Panaque titan,Real verde Real royal,Revuelto
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Grande
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Mediano
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Pequeño
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Revuelto
Amazonía,Peces,PezOseo,Pellona castelnaeana,Arenga amarilla,Varios tamaños
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Grande
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Mediano
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Pequeño
Amazonía,Peces,PezOseo,Pellona flavipinnis,Arenca blanca,Revuelto
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Grande
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Mediano
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Pequeño
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Revuelto
Amazonía,Peces,PezOseo,Phractocephalus hemioliopterus,Cajaro,Varios tamaños
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Grande
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Mediano
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Pequeño
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Revuelto
Amazonía,Peces,PezOseo,Piaractus brachypomus,Cachama blanca,Varios tamaños
Amazonía,Peces,PezOseo,Pimelodina flavipinnis,Mollejón,Pequeño
Amazonía,Peces,PezOseo,Pimelodina flavipinnis,Mollejón,Revuelto
Amazonía,Peces,PezOseo,Pimelodus albofasciatus,Cuatro líneas,Pequeño
Amazonía,Peces,PezOseo,Pimelodus albofasciatus,Cuatro líneas,Revuelto
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Grande
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Mediano
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Pequeño
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Revuelto
Amazonía,Peces,PezOseo,Pimelodus blochii,Nicuro,Varios tamaños
Amazonía,Peces,PezOseo,Pimelodus ornatus,Guacamayo,Mediano
Amazonía,Peces,PezOseo,Pimelodus ornatus,Guacamayo,Pequeño
Amazonía,Peces,PezOseo,Pimelodus ornatus,Guacamayo,Revuelto
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Grande
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Mediano
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Pequeño
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Revuelto
Amazonía,Peces,PezOseo,Pinirampus pirinampu,Barbiancho,Varios tamaños
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Grande
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Mediano
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Pequeño
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Revuelto
Amazonía,Peces,PezOseo,Plagioscion squamosissimus,Corvina,Varios tamaños
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Grande
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Mediano
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Pequeño
Amazonía,Peces,PezOseo,Platynematichthys notatus,Tigrito,Revuelto
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Grande
Amazonía,Peces,PezOseo,Platystomatichthys sturio,Doncella,Revuelto
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Grande
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Mediano
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Pequeño
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Revuelto
Amazonía,Peces,PezOseo,Potamorhina altamazonica,Branquiña,Varios tamaños
Amazonía,Peces,PezOseo,Potamorhina pristigaster,Branquiña,Mediano
Amazonía,Peces,PezOseo,Potamorhina pristigaster,Branquiña,Pequeño
Amazonía,Peces,PezOseo,Potamorhina pristigaster,Branquiña,Revuelto
Amazonía,Peces,PezOseo,Potamorhina pristigaster,Branquiña,Varios tamaños
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Grande
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Mediano
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Pequeño
Amazonía,Peces,PezOseo,Prochilodus nigricans,Bocachico cola negra,Revuelto
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Extragrande
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Grande
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Mediano
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Pequeño
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Revuelto
Amazonía,Peces,PezOseo,Prochilodus rubrotaeniatus,Bocachico,Varios tamaños
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Grande
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Mediano
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Pequeño
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Revuelto
Amazonía,Peces,PezOseo,Psectrogaster amazonica,Branquiña,Varios tamaños
Amazonía,Peces,PezOseo,Psectrogaster rhomboides,Cascudo,Pequeño
Amazonía,Peces,PezOseo,Psectrogaster rhomboides,Cascudo,Revuelto
Amazonía,Peces,PezOseo,Psectrogaster rhomboides,Cascudo,Varios tamaños
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Grande
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Mediano
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Pequeño
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Pescado especial
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Revuelto
Amazonía,Peces,PezOseo,Pseudoplatystoma punctifer,Bagre rayado,Varios tamaños
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Grande
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Mediano
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Pequeño
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Pescado especial
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Revuelto
Amazonía,Peces,PezOseo,Pseudoplatystoma tigrinum,Pintadillo tigre,Varios tamaños
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Grande
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Mediano
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Pequeño
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Revuelto
Amazonía,Peces,PezOseo,Pterodoras granulosus,Bacú,Varios tamaños
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Grande
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Mediano
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Pequeño
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Revuelto
Amazonía,Peces,PezOseo,Pterygoplichthys pardalis,Cucha,Varios tamaños
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Grande
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Mediano
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Pequeño
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Revuelto
Amazonía,Peces,PezOseo,Pygocentrus nattereri,Caribe roja,Varios tamaños
Amazonía,Peces,PezOseo,Rhamdia spp.,Liso,Mediano
Amazonía,Peces,PezOseo,Rhamdia spp.,Liso,Revuelto
Amazonía,Peces,PezOseo,Rhamphichthys rostratus,Cuchillo osa,Mediano
Amazonía,Peces,PezOseo,Rhamphichthys rostratus,Cuchillo osa,Revuelto
